car_ID,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem
206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,,,,,,,,,,
102.5,0.8300970873786407,97.44466019417474,173.2043689320388,65.58786407766989,53.46407766990292,2543.160194174757,126.29126213592232,3.3135922330097083,3.2396116504854375,10.093300970873786,103.6116504854369,5100.242718446602,25.097087378640776,30.601941747572816,0.0,,,,,,,,,,
59.61124055075519,1.2436245179906884,11.27894847334877,17.277740659089005,5.066166906340376,4.466894034548971,549.0800275475965,42.4715987898395,0.3561182439116208,0.38640474755982857,4.024862339921218,40.1090545120173,594.9071986005217,6.758574771256827,7.195987778871174,0.0,,,,,,,,,,
0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
51.25,0.0,94.5,166.3,64.025,52.0,2145.0,97.0,3.15,3.11,8.525,70.0,4800.0,19.0,25.0,0.0,,,,,,,,,,
102.5,1.0,96.9,173.2,65.5,54.1,2414.0,119.5,3.31,3.29,9.0,95.0,5200.0,24.0,30.0,0.0,,,,,,,,,,
153.75,2.0,102.30000000000001,182.75,66.825,55.5,2932.75,141.0,3.58,3.41,9.4,116.0,5500.0,30.0,34.0,0.0,,,,,,,,,,
205.0,3.0,120.9,208.1,72.3,59.8,4066.0,326.0,3.94,4.17,23.0,288.0,6600.0,49.0,54.0,0.0,,,,,,,,,,
31.0,2.0,86.6,144.6,63.9,50.8,1713.0,92.0,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,0.0,honda civic,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
19.0,2.0,88.4,141.1,60.3,53.2,1488.0,61.0,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,0.0,chevrolet impala,gas,std,two,hatchback,fwd,front,l,three,2bbl
91.0,1.0,94.5,165.3,63.8,54.5,2017.0,103.0,2.99,3.47,21.9,55.0,4800.0,45.0,50.0,0.0,nissan gt-r,diesel,std,two,sedan,fwd,front,ohc,four,idi
161.0,0.0,95.7,166.3,64.4,53.0,2094.0,98.0,3.19,3.03,9.0,70.0,4800.0,38.0,47.0,0.0,toyota corona,gas,std,four,sedan,fwd,front,ohc,four,2bbl
